Year,Global_avg_temp,Charlotte_avg_temp
1750,8.72,16.6
1751,7.98,17.35
1752,5.78,10.51
1753,8.39,15.98
1754,8.47,16.12
1755,8.36,13.75
1756,8.85,16.17
1757,9.02,15.64
1758,6.74,14.52
1759,7.99,15.52
1760,7.19,14.15
1761,8.77,16.54
1762,8.61,15.95
1763,7.5,14.01
1764,8.4,15.95
1765,8.25,15.6
1766,8.41,16.43
1767,8.22,15.23
1768,6.78,14.83
1769,7.69,15.69
1770,7.69,15.55
1771,7.85,16.49
1772,8.19,16.2
1773,8.22,16.36
1774,8.77,15.94
1775,9.18,16.8
1776,8.3,15.66
1777,8.26,15.49
1778,8.54,13.27
1779,8.98,8.94
1780,9.43,16
1781,8.1,16.11
1782,7.9,15.63
1783,7.68,15.37
1784,7.86,15.3
1785,7.36,15.12
1786,8.26,15.67
1787,8.03,15.7
1788,8.45,16.21
1789,8.33,15.96
1790,7.98,15.86
1791,8.23,16.04
1792,8.09,15.53
1793,8.23,16.14
1794,8.53,16.23
1795,8.35,15.93
1796,8.27,15.71
1797,8.51,15.68
1798,8.67,16.44
1799,8.51,16.09
1800,8.48,15.98
1801,8.59,16.34
1802,8.58,16.57
1803,8.5,16.44
1804,8.84,16.36
1805,8.56,16.58
1806,8.43,16.03
1807,8.28,15.81
1808,7.63,15.8
1809,7.08,15.01
1810,6.92,15.19
1811,6.86,15.34
1812,7.05,14.45
1813,7.74,15.46
1814,7.59,15.22
1815,7.24,14.87
1816,6.94,14.46
1817,6.98,14.5
1818,7.83,15.08
1819,7.37,15.25
1820,7.62,15.3
1821,8.09,15.05
1822,8.19,16.21
1823,7.72,15.49
1824,8.55,16.21
1825,8.39,16.6
1826,8.36,16.27
1827,8.81,16.72
1828,8.17,18.07
1829,7.94,15.99
1830,8.52,17.57
1831,7.64,15.49
1832,7.45,16.27
1833,8.01,16.31
1834,8.15,16.94
1835,7.39,16.07
1836,7.7,15.41
1837,7.38,16.17
1838,7.51,15.84
1839,7.63,16.23
1840,7.8,16.42
1841,7.69,15.97
1842,8.02,16.25
1843,8.17,15.25
1844,7.65,16.14
1845,7.85,15.86
1846,8.55,16.15
1847,8.09,15.61
1848,7.98,15.88
1849,7.98,15.8
1850,7.9,16.07
1851,8.18,16.04
1852,8.1,16.07
1853,8.04,16.21
1854,8.21,16.64
1855,8.11,16.13
1856,8,15.01
1857,7.76,15.03
1858,8.1,16.01
1859,8.25,15.92
1860,7.96,16.21
1861,7.85,15.95
1862,7.56,16.09
1863,8.11,15.59
1864,7.98,15.57
1865,8.18,16.22
1866,8.29,15.83
1867,8.44,15.85
1868,8.25,15.29
1869,8.43,15.79
1870,8.2,15.94
1871,8.12,16.44
1872,8.19,14.95
1873,8.35,15.32
1874,8.43,16.19
1875,7.86,15.21
1876,8.08,15.41
1877,8.54,15.7
1878,8.83,16.11
1879,8.17,16.17
1880,8.12,16.33
1881,8.27,16.54
1882,8.13,16.19
1883,7.98,16.24
1884,7.77,15.98
1885,7.92,14.83
1886,7.95,15.06
1887,7.91,15.69
1888,8.09,15.82
1889,8.32,15.82
1890,7.97,16.68
1891,8.02,15.54
1892,8.07,15.28
1893,8.06,15.7
1894,8.16,16.09
1895,8.15,15.04
1896,8.21,16.5
1897,8.29,16
1898,8.18,15.77
1899,8.4,15.8
1900,8.5,16.18
1901,8.54,14.86
1902,8.3,15.65
1903,8.22,15.39
1904,8.09,14.99
1905,8.23,15.55
1906,8.38,15.88
1907,7.95,15.89
1908,8.19,16.09
1909,8.18,15.93
1910,8.22,15.5
1911,8.18,16.8
1912,8.17,15.53
1913,8.3,16.31
1914,8.59,15.73
1915,8.59,15.82
1916,8.23,16.16
1917,8.02,15.06
1918,8.13,16.06
1919,8.38,16.6
1920,8.36,15.41
1921,8.57,17.1
1922,8.41,16.66
1923,8.42,16.21
1924,8.51,15.29
1925,8.53,16.84
1926,8.73,16.15
1927,8.52,16.88
1928,8.63,15.7
1929,8.24,15.93
1930,8.63,16.05
1931,8.72,16.8
1932,8.71,16.83
1933,8.34,17.08
1934,8.63,16.21
1935,8.52,16.27
1936,8.55,16.3
1937,8.7,16.02
1938,8.86,16.9
1939,8.76,16.93
1940,8.76,15.33
1941,8.77,16.59
1942,8.73,16.22
1943,8.76,16.16
1944,8.85,16.14
1945,8.58,16.55
1946,8.68,16.82
1947,8.8,15.71
1948,8.75,16.4
1949,8.59,16.93
1950,8.37,16.37
1951,8.63,16.37
1952,8.64,16.61
1953,8.87,16.9
1954,8.56,16.78
1955,8.63,16.39
1956,8.28,16.65
1957,8.73,16.64
1958,8.77,15.32
1959,8.73,16.38
1960,8.58,15.53
1961,8.8,15.92
1962,8.75,16.13
1963,8.86,15.5
1964,8.41,15.91
1965,8.53,16.31
1966,8.6,15.4
1967,8.7,15.68
1968,8.52,15.49
1969,8.6,15.47
1970,8.7,16.32
1971,8.6,16.24
1972,8.5,15.96
1973,8.95,16.37
1974,8.47,16.64
1975,8.74,16.55
1976,8.35,15.45
1977,8.85,16.28
1978,8.69,15.78
1979,8.73,15.76
1980,8.98,16.08
1981,9.17,15.73
1982,8.64,16.35
1983,9.03,15.72
1984,8.69,16.36
1985,8.66,16.53
1986,8.83,17.15
1987,8.99,16.31
1988,9.2,15.68
1989,8.92,16.09
1990,9.23,17.69
1991,9.18,17.06
1992,8.84,16.01
1993,8.87,16.4
1994,9.04,16.42
1995,9.35,16.33
1996,9.04,15.85
1997,9.2,16.05
1998,9.52,17.56
1999,9.29,16.96
2000,9.2,16.43
2001,9.41,16.86
2002,9.57,17.02
2003,9.53,16.28
2004,9.32,16.78
2005,9.7,16.71
2006,9.53,17.04
2007,9.73,17.48
2008,9.43,16.66
2009,9.51,16.42
2010,9.7,16.52
2011,9.52,17.26
2012,9.51,17.64
2013,9.61,17.71
